City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Mataura,88,NZ,1551280805,78,-46.19,168.86,8.89,0.45
Charagua,90,BO,1551276000,82,-19.79,-63.2,19.0,5.16
Hasaki,75,JP,1551280776,93,35.73,140.83,6.11,4.1
Georgetown,40,GY,1551279600,74,6.8,-58.16,29.0,7.2
Ocotlan,5,MX,1551278640,55,20.35,-102.77,16.0,0.68
Thurso,40,GB,1551281155,93,58.6,-3.52,10.0,2.1
Meulaboh,68,ID,1551281107,100,4.14,96.13,26.83,1.51
Punta Arenas,40,CL,1551280991,54,-53.16,-70.91,14.0,14.4
Ust-Tsilma,64,RU,1551281192,57,65.44,52.15,-10.5,3.98
Ostrovnoy,92,RU,1551281192,93,68.05,39.51,-4.75,4.13
Pocone,80,BR,1551281192,100,-16.26,-56.62,28.28,3.93
Stranraer,20,CA,1551280448,64,51.71,-108.48,-18.33,5.7
Puerto Ayora,40,EC,1551279600,65,-0.74,-90.35,28.0,1.5
Antofagasta,20,CL,1551279600,64,-23.65,-70.4,22.0,4.1
Mar del Plata,0,AR,1551280911,46,-46.43,-67.52,17.38,3.41
Tarko-Sale,0,RU,1551281200,26,64.92,77.78,-27.97,1.36
Hermanus,68,ZA,1551280666,61,-34.42,19.24,22.22,4.47
Qaanaaq,0,GL,1551281201,75,77.48,-69.36,-27.7,2.33
Kruisfontein,24,ZA,1551281202,71,-34.0,24.73,17.91,6.96
Cidreira,100,BR,1551281202,99,-30.17,-50.22,20.13,2.63
Sibolga,48,ID,1551281202,99,1.74,98.78,22.0,0.83
East London,0,ZA,1551279600,52,-33.02,27.91,21.0,8.2
Albany,90,US,1551281132,39,42.65,-73.75,-8.89,1.5
Saskylakh,56,RU,1551280699,33,71.97,114.09,-30.65,1.38
La Tuque,0,CA,1551281167,52,47.44,-72.79,-17.7,2.26
Waingapu,80,ID,1551281224,95,-9.65,120.26,25.38,1.26
Khatanga,64,RU,1551281224,68,71.98,102.47,-23.27,2.63
Saint Anthony,90,US,1551281123,74,43.97,-111.68,3.0,2.86
Saldanha,0,PT,1551281225,45,41.42,-6.55,16.38,3.26
Lagoa,20,PT,1551280929,72,37.14,-8.45,20.0,3.1
Busselton,0,AU,1551281107,45,-33.64,115.35,21.67,7.41
Amet,0,IN,1551281225,31,25.3,73.93,14.86,3.03
Rechitsy,0,RU,1551280393,68,55.6,38.46,-2.0,2.0
Souillac,0,FR,1551281224,23,45.6,-0.6,24.44,1.5
Provideniya,76,RU,1551281226,96,64.42,-173.23,-2.27,9.76
Independencia,0,MX,1551281227,59,20.06,-97.05,18.46,0.91
Tasiilaq,75,GL,1551279000,91,65.61,-37.64,0.0,13.9
Barda,92,RU,1551281228,85,56.93,55.59,-6.15,1.71
Talnakh,0,RU,1551281229,37,69.49,88.39,-32.02,1.93
Bethel,90,US,1551279360,100,60.79,-161.76,1.0,3.6
Ancud,75,CL,1551279600,67,-41.87,-73.83,16.0,4.6
Ojinaga,1,US,1551280500,20,29.56,-104.41,14.0,0.88
Jamestown,0,AU,1551281230,66,-33.21,138.6,18.63,2.93
Lavrentiya,32,RU,1551280705,83,65.58,-170.99,-4.75,7.98
Chuy,0,UY,1551281255,87,-33.69,-53.46,20.73,4.13
Pevek,76,RU,1551281255,75,69.7,170.27,-7.92,11.96
Nikolskoye,20,RU,1551281134,91,59.7,30.79,3.33,8.0
Alice Springs,0,AU,1551279600,23,-23.7,133.88,25.0,4.16
Port Alfred,8,ZA,1551281154,68,-33.59,26.89,22.22,2.24
Bayir,40,TR,1551279000,46,37.27,28.22,10.0,8.2
Marsh Harbour,80,BS,1551281205,100,26.54,-77.06,22.58,7.18
Cape Town,20,ZA,1551281167,46,-33.93,18.42,22.22,5.7
Mlowo,48,TZ,1551281266,96,-9.01,33.0,20.61,1.26
Ushuaia,75,AR,1551279600,70,-54.81,-68.31,9.0,15.4
Hilo,90,US,1551281081,82,19.71,-155.08,19.0,6.7
Douentza,0,ML,1551281267,19,15.01,-2.95,27.86,4.41
Muli,0,IN,1551281267,25,22.62,71.45,20.46,3.68
Hamilton,75,BM,1551281125,48,32.3,-64.78,18.89,3.1
Ribeira Grande,20,PT,1551279600,88,38.52,-28.7,18.0,5.7
Pundaguitan,0,PH,1551281268,98,6.37,126.17,26.53,3.48
Acapulco,5,MX,1551278880,69,16.86,-99.88,26.0,1.5
San Jose,20,PH,1551281244,94,15.79,120.99,20.21,1.26
Te Anau,68,NZ,1551281270,93,-45.41,167.72,3.61,1.28
Kaitangata,92,NZ,1551281241,87,-46.28,169.85,8.13,7.46
Naze,20,NG,1551276000,70,5.43,7.07,31.0,4.1
Arraial do Cabo,0,BR,1551279600,70,-22.97,-42.02,31.0,5.1
Cabo San Lucas,40,MX,1551280802,72,22.89,-109.91,20.0,2.1
Mandalgovi,0,MN,1551281281,75,45.76,106.27,-11.35,2.73
Port Hardy,20,CA,1551279600,85,50.7,-127.42,-7.0,2.1
Longyearbyen,75,NO,1551280800,77,78.22,15.63,-17.0,4.1
Bambanglipuro,80,ID,1551281281,100,-7.95,110.28,21.88,1.51
Hella,40,IS,1551280518,70,63.84,-20.4,7.0,7.7
Victoria,75,BN,1551277800,83,5.28,115.24,26.0,2.6
Rivne,75,UA,1551280237,80,50.62,26.25,5.0,4.0
Evansville,1,US,1551281121,61,37.97,-87.56,12.0,2.1
Kapaa,1,US,1551280548,63,22.08,-159.32,21.0,5.7
Thompson,75,CA,1551279600,77,55.74,-97.86,-18.0,2.6
Leiyang,92,CN,1551281284,98,26.42,112.85,7.61,2.81
Luanda,75,AO,1551279600,78,-8.83,13.24,28.0,3.6
Ponta do Sol,20,BR,1551281284,93,-20.63,-46.0,26.88,2.11
Avarua,32,CK,1551279600,94,-21.21,-159.78,23.0,0.5
Dingle,0,PH,1551281284,72,11.0,122.67,23.5,5.41
Naberera,36,TZ,1551281285,34,-4.2,36.93,29.53,5.63
Aksarka,64,RU,1551281285,68,66.56,67.8,-16.85,11.96
Kathu,0,ZA,1551280580,17,-27.7,23.05,30.56,0.45
La Ronge,90,CA,1551279600,78,55.1,-105.3,-8.0,5.7
Teruel,0,ES,1551279600,10,40.34,-1.11,24.0,1.5
Bati,0,ET,1551281299,19,11.19,40.02,30.96,2.51
Mazatlan,5,MX,1551280596,52,23.22,-106.42,23.89,0.43
Duku,0,NG,1551281214,30,11.24,4.91,36.28,2.46
Butaritari,64,KI,1551281126,100,3.07,172.79,27.38,7.63
Kuryk,80,KZ,1551281304,67,43.18,51.68,7.08,3.31
Seoul,75,KR,1551279600,55,37.57,126.98,6.0,0.5
Kijang,75,KR,1551277980,61,35.24,129.21,10.0,2.1
Qaqortoq,75,GL,1551279000,24,60.72,-46.03,7.0,20.1
Olinda,75,EC,1551281119,78,-2.03,-79.75,28.89,1.5
Shubarkuduk,56,KZ,1551281305,83,49.15,56.49,-5.22,1.71
Eyl,0,SO,1551281306,81,7.98,49.82,26.23,4.08
Healdsburg,90,US,1551281011,100,38.61,-122.87,13.0,3.61
Hami,0,CN,1551281279,61,42.84,93.51,-4.47,3.68
Huilong,88,CN,1551281136,89,28.89,110.18,3.63,1.73
Labuhan,12,ID,1551281307,87,-2.54,115.51,24.61,1.11
Liwale,44,TZ,1551281307,69,-9.8,37.92,28.11,1.43
Severo-Kurilsk,76,RU,1551281329,100,50.68,156.12,-3.72,9.58
Mbuguni,20,TZ,1551276000,31,-3.55,36.92,33.0,5.1
Kalmunai,80,LK,1551281329,94,7.42,81.82,25.08,2.16
Dire,20,ET,1551279600,16,9.18,38.92,24.0,5.1
Namibe,40,AO,1551276000,66,-15.19,12.15,30.0,7.2
Cayenne,92,GF,1551279600,58,4.94,-52.33,30.0,8.2
Lebu,20,ET,1551279600,16,8.96,38.73,24.0,5.1
Vestmanna,44,FO,1551280800,70,62.16,-7.17,7.0,7.7
Saryozek,0,KZ,1551281157,71,44.36,77.98,-9.35,1.23
Road Town,20,VG,1551281232,65,18.42,-64.62,28.0,7.2
Mutare,0,MZ,1551281332,57,-18.97,32.67,28.88,1.81
Kashan,20,IR,1551276000,25,33.99,51.44,16.0,2.1
Suntar,76,RU,1551281332,61,62.16,117.65,-9.0,3.46
Muscat,0,OM,1551279000,64,23.6,58.55,24.0,5.1
Segovia,0,ES,1551281224,18,40.95,-4.12,21.11,1.5
Esmeralda,0,CL,1551281333,49,-34.33,-70.9,23.53,0.23
Minab,90,IR,1551279600,64,27.15,57.07,23.0,6.2
Poopo,75,BO,1551276000,58,-18.38,-66.97,14.0,4.1
Upernavik,8,GL,1551281337,100,72.79,-56.15,-15.35,9.26
Beringovskiy,76,RU,1551281337,83,63.05,179.32,-3.3,5.88
Igrim,0,RU,1551281338,60,63.19,64.42,-19.25,2.51
Kahului,40,US,1551281164,82,20.89,-156.47,19.0,3.1
San Quintin,0,PH,1551281338,86,17.54,120.52,18.58,0.83
Altamira,75,BR,1551279600,83,-3.2,-52.21,26.0,1.0
Esperance,40,TT,1551280565,66,10.24,-61.45,29.44,8.7
Castro,75,CL,1551279600,67,-42.48,-73.76,16.0,4.6
Los Llanos de Aridane,40,ES,1551280504,60,28.66,-17.92,22.0,3.1
Jacareacanga,75,BR,1551276000,88,-6.22,-57.76,27.0,2.1
Asosa,92,ET,1551281340,19,10.07,34.53,32.25,2.06
Tres Arroyos,100,AR,1551281340,99,-38.38,-60.28,14.48,4.63
Bara,92,NG,1551281340,24,10.41,10.6,34.16,2.46
Tucuman,0,PE,1551281341,84,-17.17,-70.89,19.71,1.61
Haines Junction,0,CA,1551281341,60,60.75,-137.51,-23.05,0.91
Omsukchan,64,RU,1551281165,67,62.53,155.8,-27.4,1.36
Atuona,48,PF,1551281341,100,-9.8,-139.03,26.83,2.93
Kodiak,90,US,1551281313,61,39.95,-94.76,-6.11,5.7
Solnechnyy,0,RU,1551281342,71,50.72,136.64,-8.88,3.01
Cherskiy,64,RU,1551281342,69,68.75,161.3,-21.15,2.51
Guaraniacu,75,BR,1551279600,78,-25.1,-52.88,24.0,6.2
Sisimiut,0,GL,1551281296,61,66.94,-53.67,-17.6,1.23
Kerema,92,PG,1551281343,98,-7.96,145.78,23.91,0.88
Lithgow,75,AU,1551281243,83,-33.48,150.16,21.11,1.28
Kempsey,92,AU,1551281045,89,-31.08,152.84,18.89,0.45
Yulara,0,AU,1551279600,21,-25.24,130.99,28.0,2.6
Porto Walter,64,BR,1551281343,80,-8.27,-72.74,28.03,1.26
Edson,90,CA,1551279600,65,53.59,-116.44,-16.0,3.1
Zhezkazgan,92,KZ,1551281101,87,47.8,67.71,-2.88,3.23
Hofn,20,IS,1551280260,80,64.25,-15.21,5.0,4.6
Cockburn Town,24,TC,1551281117,97,21.46,-71.14,25.41,9.18
Kailua,40,US,1551281172,83,21.39,-157.74,21.0,7.2
Ulaangom,20,MN,1551281348,71,49.98,92.07,-19.75,0.76
Norman Wells,75,CA,1551279600,92,65.28,-126.83,-12.0,1.5
Iqaluit,90,CA,1551280967,83,63.75,-68.52,-21.67,4.18
Auki,8,NG,1551281349,37,12.18,6.51,34.23,2.73
Coihaique,0,CL,1551279600,66,-45.58,-72.07,14.0,2.1
Gao,0,ML,1551281350,17,16.28,-0.04,29.41,4.16
Vila Velha,20,BR,1551281301,66,-3.71,-38.6,30.0,5.7
Nantucket,75,US,1551281142,37,41.28,-70.1,-5.0,6.7
Hanzhong,32,CN,1551281351,86,33.08,107.03,-0.47,1.01
Broken Hill,0,AU,1551276000,18,-31.97,141.45,28.0,3.6
Dunmore Town,76,BS,1551281351,100,25.5,-76.65,24.21,5.93
Inhambane,20,MZ,1551279600,74,-23.87,35.38,30.0,5.1
Cordoba,80,CO,1551281352,67,5.59,-73.79,14.38,1.21
Richards Bay,88,ZA,1551281352,88,-28.77,32.06,23.13,3.93
Mastic Beach,90,US,1551281348,35,40.77,-72.85,-2.78,3.6
Awbari,0,LY,1551281353,48,26.59,12.77,18.16,4.86
Chokurdakh,76,RU,1551281353,65,70.62,147.9,-22.85,5.61
Fortuna,0,ES,1551281344,13,38.18,-1.13,23.89,0.5
Snezhnogorsk,75,RU,1551277800,85,69.19,33.23,-4.0,6.0
Nizhniy Odes,36,RU,1551281354,60,63.64,54.86,-15.42,2.41
Vao,32,EE,1551281354,82,59.1,26.19,2.53,5.08
Tukums,0,LV,1551279000,70,56.97,23.17,8.0,2.6
Deputatskiy,48,RU,1551281356,36,69.3,139.9,-32.15,1.43
Balurghat,92,IN,1551281356,95,25.22,88.78,16.5,3.23
Torbay,75,CA,1551281312,85,47.66,-52.73,-3.33,15.9
Boden,0,SE,1551279000,56,65.83,21.69,7.0,6.2
Oktyabrskoye,90,RU,1551281118,92,56.73,85.44,-3.0,5.0
Great Bend,90,US,1551280556,78,38.36,-98.78,-10.57,10.3
Oyotun,0,PE,1551279600,29,-6.85,-79.3,19.0,1.5
Port Elizabeth,1,US,1551281111,51,39.31,-74.98,2.78,4.1
Leopold,1,US,1551281331,50,38.1,-86.58,13.33,2.1
Bibiani,0,GH,1551281358,42,6.45,-2.31,35.25,2.06
Ketchikan,1,US,1551280320,69,55.34,-131.65,2.0,4.1
Nome,90,US,1551281353,93,30.04,-94.42,18.0,3.6
Sukumo,92,JP,1551281359,98,32.94,132.72,12.08,4.26
Morant Bay,20,JM,1551279600,58,17.88,-76.41,29.0,5.7
Adrar,0,DZ,1551279600,36,27.87,-0.29,16.0,12.9
Sao Gabriel da Cachoeira,68,BR,1551281368,96,-0.13,-67.09,24.73,1.68
Monrovia,75,LR,1551279600,74,6.33,-10.8,28.0,5.1
Praya,75,ID,1551279600,94,-8.71,116.27,27.0,1.0
Peniche,40,PT,1551281297,63,39.36,-9.38,17.0,4.6
Ape,80,EE,1551281369,93,57.54,26.69,2.61,5.93
Codrington,76,AU,1551281317,82,-28.95,153.24,22.0,3.1
Areado,0,BR,1551281230,98,-21.36,-46.15,24.25,1.93
Banda Aceh,80,ID,1551281369,100,5.56,95.32,24.46,1.21
Timberlake,75,US,1551281289,77,32.26,-81.31,20.0,0.76
Chancay,0,PE,1551280931,65,-11.56,-77.27,28.0,4.1
Leningradskiy,0,RU,1551281371,75,69.38,178.42,-7.85,8.86
Paamiut,88,GL,1551281371,82,61.99,-49.67,1.03,2.83
Christchurch,0,NZ,1551280878,81,-43.53,172.64,9.0,3.1
Bossangoa,12,CF,1551281372,27,6.5,17.45,34.48,6.21
Plettenberg Bay,32,ZA,1551281372,91,-34.05,23.37,18.33,6.83
Jalu,0,LY,1551281372,40,29.03,21.55,18.66,7.06
Vostok,32,RU,1551281372,65,46.45,135.83,-13.72,1.11
Saint George,75,GR,1551281006,57,39.45,22.34,11.11,4.6
Dovolnoye,88,RU,1551281373,90,54.5,79.67,-6.72,5.21
Markala,0,ML,1551281373,25,13.69,-6.07,28.63,4.83
Tuktoyaktuk,5,CA,1551279600,76,69.44,-133.03,-21.0,5.1
Airai,80,TL,1551281374,91,-8.93,125.41,22.03,0.76
Tiksi,0,RU,1551281374,32,71.64,128.87,-30.45,1.36
Mogadishu,40,SO,1551276000,66,2.04,45.34,29.0,6.7
Barabai,20,ID,1551281374,89,-2.59,115.38,25.36,0.88
Port Blair,40,IN,1551276000,70,11.67,92.75,29.0,2.1
Umea,40,SE,1551279605,56,63.83,20.26,7.0,8.2
Carnarvon,8,ZA,1551281362,14,-30.97,22.13,26.0,5.18
Rusape,0,ZW,1551281375,48,-18.53,32.12,26.46,2.73
Saint-Pierre,0,FR,1551281225,30,48.95,4.24,21.11,2.6
Antipovka,68,RU,1551281377,86,49.83,45.31,-3.65,1.33
Havre-Saint-Pierre,90,CA,1551279600,66,50.23,-63.6,-12.0,10.8
Sao Filipe,0,CV,1551281377,80,14.9,-24.5,23.78,8.63
Port Lincoln,0,AU,1551281377,100,-34.72,135.86,18.21,3.71
Broome,0,GB,1551281364,48,52.47,1.45,19.44,3.6
Henties Bay,0,NA,1551279736,77,-22.12,14.28,23.89,5.36
Tarnogskiy Gorodok,68,RU,1551281378,75,60.5,43.58,-13.9,4.21
Stroud,0,GB,1551281336,51,51.75,-2.22,18.89,3.6
Rincon,75,US,1551281289,77,32.3,-81.24,20.0,1.36
Caucaia,20,BR,1551281301,66,-3.73,-38.66,30.0,5.7
Champerico,5,MX,1551279000,69,16.38,-93.6,23.0,1.0
Mardin,75,TR,1551279600,76,37.32,40.72,12.0,3.1
Griffith,20,AU,1551279017,26,-34.29,146.06,29.0,6.7
Prince Rupert,1,CA,1551279600,86,54.32,-130.32,-3.0,3.1
Rocha,0,UY,1551281380,57,-34.48,-54.34,20.96,4.41
Guaruja,40,BR,1551279600,78,-23.99,-46.26,27.0,3.1
Beaufort,75,MY,1551277800,83,5.36,115.76,26.0,2.6
Shar,80,NG,1551281382,53,7.3,8.73,32.08,1.96
Anantnag,48,IN,1551281224,90,33.74,75.15,-4.35,0.76
Robertsport,20,LR,1551281382,98,6.75,-11.37,27.78,5.16
Nagato,75,JP,1551281364,87,34.35,131.14,8.0,3.1
Umm Lajj,92,SA,1551281383,82,25.02,37.27,20.71,5.78
Gulf Gate Estates,1,US,1551281342,78,27.26,-82.51,24.44,4.1
Caluquembe,36,AO,1551281383,85,-13.78,14.68,22.5,1.71
Kamenka,76,RU,1551280640,76,53.19,44.05,0.56,2.78
Nayoro,68,JP,1551281384,79,44.36,142.46,-2.75,3.46
Kakhi,75,AZ,1551279600,75,41.42,46.93,6.0,3.1
Geraldton,90,CA,1551279600,65,49.72,-86.95,-16.0,4.1
Yar-Sale,64,RU,1551281384,64,66.83,70.83,-17.87,11.71
Sri Aman,76,MY,1551276000,100,1.24,111.46,25.0,1.21
Klaksvik,24,FO,1551280800,70,62.23,-6.59,7.0,7.7
West Wendover,20,US,1551275760,56,40.74,-114.07,6.0,1.5
Vanimo,20,PG,1551281385,100,-2.67,141.3,27.98,4.41
Doha,0,QA,1551279600,64,25.29,51.53,21.0,3.1
Zeya,32,RU,1551281386,61,53.74,127.27,-16.13,1.03
Tynda,44,RU,1551281387,61,55.15,124.74,-16.25,1.16
Mitchell,1,US,1551281104,64,43.71,-98.03,-16.67,4.6
North Bend,90,US,1551281126,100,43.41,-124.22,3.0,3.1
Bathsheba,75,BB,1551279600,66,13.22,-59.52,29.0,9.3
Soyo,75,AO,1551276000,55,-6.13,12.37,31.0,3.1
Bireun,56,ID,1551281388,100,5.2,96.7,28.0,2.06
Bud,90,NO,1551280800,87,62.91,6.91,7.22,7.2
Goderich,92,CA,1551281317,83,43.74,-81.71,-8.33,6.71
Warragul,0,AU,1551281281,89,-38.16,145.93,20.56,2.68
Gasa,48,BT,1551281389,57,27.91,89.73,-15.5,1.26
Deep River,1,CA,1551280589,64,46.1,-77.49,-17.78,1.5
Vardo,20,US,1551281130,47,39.62,-77.74,2.22,3.1
Fayaoue,56,NC,1551281390,100,-20.65,166.53,26.28,11.38
Hualmay,8,PE,1551281390,62,-11.1,-77.61,26.13,1.48
Kirksville,90,US,1551279300,100,40.19,-92.58,-5.57,5.1
Montevideo,1,US,1551280568,64,44.94,-95.72,-16.67,4.1
Sao Jose da Coroa Grande,32,BR,1551281391,85,-8.9,-35.15,29.21,3.48
Moose Factory,1,CA,1551279600,76,51.26,-80.61,-20.0,4.6
The Pas,90,CA,1551279960,78,53.82,-101.24,-12.0,4.6
Rey Bouba,44,CM,1551281392,25,8.67,14.18,35.0,1.91
La Palma,100,CO,1551281393,98,5.36,-74.39,19.33,0.76
Murdochville,24,CA,1551281393,51,48.96,-65.49,-15.38,10.23
Rio Gallegos,20,AR,1551279600,41,-51.62,-69.22,16.0,13.9
Shizuishan,32,CN,1551281394,69,39.02,106.36,-9.67,0.98
Chapleau,90,CA,1551279600,84,47.85,-83.4,-16.0,2.1
Atikokan,24,CA,1551281394,64,48.76,-91.62,-18.15,1.91
Yerofey Pavlovich,8,RU,1551281394,66,53.97,121.97,-12.97,2.33
High Level,20,CA,1551279600,67,58.52,-117.13,-6.0,6.7
Clyde River,20,CA,1551279600,82,70.47,-68.59,-27.0,3.6
Buchanan,75,LR,1551279600,74,5.88,-10.05,28.0,5.1
Timra,0,SE,1551281119,49,62.49,17.33,9.44,8.2
Anadyr,40,RU,1551280992,92,64.73,177.51,-4.0,13.0
Shingu,88,JP,1551281396,100,33.72,135.99,13.71,5.26
Bolobo,76,CD,1551281396,100,-2.17,16.23,23.48,1.43
Chilmari,80,BD,1551281397,95,25.59,89.66,16.13,3.06
Mahebourg,75,MU,1551281341,74,-20.41,57.7,29.0,4.6
Oleksandrivka,92,UA,1551281398,72,48.97,32.24,1.75,5.56
Biak,80,ID,1551281401,95,-0.91,122.88,26.21,1.33
Kudahuvadhoo,32,MV,1551281401,100,2.67,72.89,28.38,1.93
Valle de Allende,20,MX,1551281402,43,26.94,-105.39,9.75,2.06
San Patricio,0,PY,1551281403,64,-26.98,-56.83,26.0,2.03
Nanortalik,24,GL,1551281403,96,60.14,-45.24,1.61,18.86
Esil,44,KZ,1551281405,78,51.96,66.41,-13.25,1.48
Smithers,20,CA,1551279600,84,54.78,-127.17,-19.0,1.5
Kabompo,0,ZM,1551281410,44,-13.6,24.21,31.5,3.26
Lata,88,IN,1551281481,100,30.78,78.62,-1.22,0.58
Kampong Cham,0,KH,1551281481,64,11.99,105.46,25.11,2.28
Kingsland,90,US,1551281421,82,30.8,-81.69,23.33,1.46
Sistranda,75,NO,1551281362,81,63.73,8.83,6.11,14.9
Neuquen,0,AR,1551276000,25,-38.95,-68.06,23.0,3.6
Itubera,48,BR,1551281482,78,-13.73,-39.15,30.78,3.03
Vilhena,75,BR,1551279600,100,-12.74,-60.15,21.0,3.1
Constitucion,5,MX,1551281416,46,23.99,-104.67,12.78,1.0
Lakhdenpokhya,88,RU,1551281447,88,61.52,30.2,1.67,6.01
Upington,0,ZA,1551279600,9,-28.46,21.24,30.0,4.6
Osmena,0,PH,1551281483,100,12.17,124.59,20.41,2.93
Finschhafen,12,PG,1551281484,92,-6.6,147.85,23.66,0.61
Roald,90,NO,1551281467,87,62.58,6.12,7.0,7.2
Marystown,24,CA,1551280923,100,47.17,-55.16,-0.57,7.6
Coquimbo,20,CL,1551279600,68,-29.95,-71.34,20.0,4.6
Flinders,90,AU,1551281463,72,-34.58,150.85,21.67,2.6
Veere,0,NL,1551281482,58,51.55,3.67,18.89,4.1
Tairua,0,NZ,1551281408,85,-37.02,175.85,17.78,5.81
Sabang,8,PH,1551281486,89,13.72,123.58,23.96,4.83
Lorengau,92,PG,1551281486,100,-2.02,147.27,26.03,3.18
El Paraiso,20,HN,1551281486,63,13.86,-86.55,21.5,2.58
Lompoc,90,US,1551281193,87,34.64,-120.46,12.0,3.1
Yugo-Kamskiy,90,RU,1551279600,92,57.7,55.58,-5.0,1.0
Ntchisi,0,MW,1551279600,51,-13.36,33.92,28.0,2.6
Nemuro,0,JP,1551281487,92,43.32,145.57,-0.65,6.18
Georgiyevka,44,RU,1551281487,89,52.25,40.45,-3.72,2.83
Dukat,76,RS,1551281303,60,42.44,22.31,5.0,1.34
Tilichiki,24,RU,1551281488,52,60.47,166.1,-23.7,1.16
Gat,0,SN,1551279600,8,14.69,-16.54,30.0,6.7
Gandorhun,0,SL,1551281489,15,8.44,-10.86,36.96,3.01
Mecca,24,SA,1551281468,41,21.43,39.83,28.75,4.81
Puerto Ayacucho,0,CO,1551279600,52,5.66,-67.63,31.0,3.6
Tevaitoa,0,PF,1551281490,99,-16.78,-151.5,28.25,4.03
Matagami,32,NG,1551281490,91,9.67,8.4,23.63,1.61
Cabedelo,40,BR,1551279600,62,-6.97,-34.84,31.0,5.1
Vengerovo,88,RU,1551281491,85,55.68,76.74,-8.67,5.03
Bechyne,0,CZ,1551281488,34,49.3,14.47,15.0,1.61
Kizner,92,RU,1551281491,86,56.27,51.51,-5.02,2.58
Hirara,8,JP,1551281491,97,24.8,125.28,23.66,6.21
Faanui,12,PF,1551281501,100,-16.48,-151.75,28.46,4.16
Karratha,0,AU,1551281466,82,-20.74,116.85,27.41,3.13
Llandrindod Wells,0,GB,1551281451,60,52.24,-3.38,18.33,1.88
Sawtell,40,AU,1551281295,88,-30.38,153.1,19.0,2.1
Sinnamary,92,GF,1551281502,87,5.38,-52.96,27.41,6.56
Ivanjica,75,RS,1551279600,49,43.58,20.23,9.0,4.1
Verkhoyansk,0,RU,1551281502,0,67.55,133.39,-38.72,1.21
Kavaratti,8,IN,1551281503,100,10.57,72.64,27.91,4.86
Namanga,0,KE,1551281503,33,-2.55,36.79,27.88,4.96
Saint-Augustin,0,FR,1551281437,25,44.83,-0.61,25.0,2.1
Bhimunipatnam,20,IN,1551279600,74,17.88,83.43,27.0,2.1
Luxeuil-les-Bains,0,FR,1551281226,19,47.82,6.38,22.0,1.5
Eenhana,40,NA,1551279600,23,-17.48,16.34,35.0,3.6
Cap Malheureux,75,MU,1551281041,74,-19.98,57.61,29.0,4.6
Serrinha,20,BR,1551281504,60,-11.66,-39.0,31.36,2.01
Puerto Escondido,5,MX,1551279000,58,15.86,-97.07,28.0,2.48
Turayf,75,SA,1551279600,66,31.68,38.65,12.0,8.2
Sorland,75,NO,1551280800,86,67.67,12.69,6.0,12.9
Bowen,75,AU,1551281397,94,-20.01,148.25,22.22,2.6
